mediamatch_userevent.phone_no,mediamatch_userevent.run_name,mediamatch_userevent.run_time,mediamatch_userevent.owner_name,mediamatch_userevent.owner_code,mediamatch_userevent.open_time,mediamatch_userevent.sm_name
2028620,正常,2009/9/24 17:15,HC级,00,2008-03-26 09:12:34,甜果电视
2030514,正常,2016/12/20 21:15,HC级,00,2008-03-27 16:43:59,数字电视
2032043,正常,2008/3/29 17:43,HC级,00,2008-03-29 17:44:03,模拟有线电视
2017676,欠费暂停,2012/6/1 14:26,HC级,00,2006-08-31 12:04:49,珠江宽频
2010025,正常,2018/6/13 22:36,HC级,00,2014-02-12 09:09:55,互动电视
2005755,正常,2017/11/21 16:22,EE级,00,2013-11-08 14:40:39,互动电视
2009348,正常,2014/1/20 12:54,HC级,00,2014-01-20 12:54:36,模拟有线电视
2006317,正常,2013/11/21 14:14,HC级,00,2013-11-21 14:14:04,互动电视
2004261,主动销户,2015/1/23 11:23,HC级,00,2013-10-14 17:36:09,珠江宽频
2006510,正常,2013/11/29 8:13,HC级,00,2013-11-29 08:13:00,互动电视
2000294,正常,2015/3/5 10:35,HC级,00,2013-07-28 17:40:27,珠江宽频
2000745,主动暂停,2017/10/21 12:26,HC级,00,2013-08-07 11:11:41,互动电视
2012015,主动暂停,2016/2/29 23:30,HC级,00,2014-04-03 09:14:22,珠江宽频
2011442,正常,2014/3/20 12:24,HC级,00,2014-03-20 12:24:04,模拟有线电视
2008627,正常,2014/1/4 17:13,HC级,00,2014-01-04 17:13:52,互动电视
2008252,正常,2013/12/28 20:19,HC级,00,2013-12-28 20:19:27,互动电视
2011921,正常,2018/6/15 16:28,HC级,00,2014-03-30 16:51:40,互动电视
2007506,正常,2013/12/16 20:56,HC级,00,2013-12-16 20:56:41,珠江宽频
2012262,正常,2014/4/10 17:15,HC级,00,2014-04-10 17:15:21,互动电视
2009281,主动暂停,2018/5/19 14:13,HC级,00,2014-01-24 08:22:30,珠江宽频
2001617,主动暂停,2016/11/30 23:36,HC级,00,2013-08-25 18:08:42,互动电视
2007659,正常,2014/5/18 18:03,HC级,00,2013-12-20 08:55:25,互动电视
2000912,欠费暂停,2015/1/19 10:10,HC级,00,2013-08-17 10:54:09,互动电视
2001789,正常,2013/9/24 9:11,HC级,00,2013-08-27 15:51:30,互动电视
2001204,正常,2014/5/22 17:17,HC级,00,2013-08-17 11:07:59,珠江宽频
2011994,正常,2014/4/2 21:57,HC级,00,2014-04-02 21:57:51,珠江宽频
2006648,正常,2014/9/22 14:04,HC级,00,2013-11-27 14:46:29,珠江宽频
2009442,主动暂停,2016/1/30 13:59,HC级,00,2014-01-28 10:35:39,互动电视
2003167,正常,2013/9/21 20:26,HC级,00,2013-09-21 20:26:37,互动电视
2010621,正常,2014/2/28 9:02,HC级,00,2014-02-28 09:02:14,模拟有线电视
2008550,正常,2014/1/3 9:40,HC级,00,2014-01-03 09:40:39,模拟有线电视
2007914,正常,2014/1/19 8:38,HC级,00,2013-12-28 20:25:48,珠江宽频
2002992,正常,2013/9/18 22:27,HC级,00,2013-09-18 22:27:00,互动电视
2007182,正常,2013/12/9 16:38,HC级,00,2013-12-09 16:38:20,互动电视
2009814,正常,2014/1/29 12:56,HC级,00,2014-01-29 12:56:16,互动电视
2000107,正常,2013/7/24 15:19,HC级,00,2013-07-24 15:19:42,互动电视
2007135,主动暂停,2016/5/4 15:43,HC级,00,2013-12-07 15:13:12,互动电视
2000638,正常,2013/9/20 15:58,HC级,00,2013-08-04 17:18:03,互动电视
2010811,主动销户,2015/6/19 16:36,HC级,NULL,NULL,数字电视
2011448,欠费暂停,2017/5/9 17:05,HC级,00,2014-03-19 11:05:28,珠江宽频
2005602,正常,2013/11/6 13:13,HC级,NULL,NULL,数字电视
2005603,正常,2013/11/6 15:39,HC级,NULL,NULL,模拟有线电视
2001019,正常,2013/8/13 13:27,HC级,NULL,NULL,模拟有线电视
2009223,正常,2014/1/20 9:29,HC级,NULL,NULL,模拟有线电视
2004845,主动销户,2014/2/14 17:07,HC级,NULL,NULL,模拟有线电视
2002237,欠费暂停,2018/5/19 9:01,HC级,NULL,NULL,数字电视
2010444,正常,2014/2/21 16:57,HC级,00,2014-02-21 16:57:56,模拟有线电视
2006587,正常,2014/6/18 10:43,HC级,00,2013-11-26 17:03:57,珠江宽频
2009411,正常,2014/1/25 11:44,HC级,00,2014-01-25 11:44:18,珠江宽频
2005050,正常,2013/10/27 12:19,HC级,00,2013-10-27 12:19:31,珠江宽频
2005443,主动暂停,2017/2/26 14:59,HC级,00,2013-11-02 18:14:59,数字电视
2002859,正常,2013/9/17 17:51,HC级,00,2013-09-17 17:51:36,珠江宽频
2010443,正常,2014/2/21 13:36,HC级,00,2014-02-21 13:36:50,数字电视
2000121,正常,2018/4/17 11:37,HC级,00,2013-07-25 17:38:27,互动电视
