order_100000.phone_no,order_100000.owner_name,order_100000.optdate,order_100000.prodname,order_100000.sm_name,order_100000.offerid,order_100000.offername,order_100000.business_name,order_100000.owner_code,order_100000.prodprcid,order_100000.prodprcname,order_100000.effdate,order_100000.expdate,order_100000.orderdate,order_100000.cost,order_100000.mode_time,order_100000.prodstatus,order_100000.run_name,order_100000.orderno,order_100000.offertype
2009373,HE级,2015-09-01 01:04:41,所有基本节目_回看,互动电视,00133379,快乐点,到期暂停状态,NULL,NULL,NULL,2014-09-04 00:00:00,2015-08-31 23:59:59,2014-09-04 09:48:36,NULL,N,YD,正常,2031318812,1
2009373,HE级,2015-11-01 12:29:16,精彩点_点播,互动电视,GZ122619,快乐点-1年-送2月,正常状态,NULL,NULL,快乐点-1年-300元-送2月,2015-11-01 00:00:00,2016-12-31 23:59:59,2015-11-01 12:29:16,NULL,Y,YY,正常,2095792403,1
2009373,HE级,2015-11-01 12:29:16,所有基本节目_时移,互动电视,GZ122619,快乐点-1年-送2月,正常状态,NULL,NULL,NULL,2015-11-01 00:00:00,2016-12-31 23:59:59,2015-11-01 12:29:16,NULL,N,YY,正常,2095792403,1
2009373,HC级,2018-04-27 05:46:38,广州基本点播组,互动电视,GZ101369,支持单片点播权限(按片付费),正常状态,00,R3259,0资费,2014-01-20 00:00:00,2050-01-01 00:00:00,2014-01-20 19:48:24,0,Y,BY,正常,265028892,1
2009373,HC级,2017-01-01 02:14:52,甜果TV(精彩点_点播),互动电视,GZ122619,快乐点-1年-送2月-包年到期外呼专享,到期暂停状态,00,121092,快乐点-1年-300元-送2月,2015-11-01 00:00:00,2016-12-31 23:59:59,2015-11-01 12:29:16,300,Y,YD,正常,2095792403,1
2009373,HE级,2014-07-23 11:27:52,标清直播基本包_广州,互动电视,00117902,[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),正常状态,NULL,NULL,NULL,2014-01-20 00:00:00,2050-01-01 00:00:00,2014-01-20 19:48:24,NULL,Y,BY,正常,265028892,0
2009373,HE级,2015-09-01 01:04:41,所有基本节目_时移,互动电视,00133379,快乐点,到期暂停状态,NULL,NULL,NULL,2014-09-04 00:00:00,2015-08-31 23:59:59,2014-09-04 09:48:36,NULL,N,YD,正常,2031318812,1
2009373,HE级,2014-07-23 11:27:52,个人用户免费专区_点播,互动电视,00117902,[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),正常状态,NULL,NULL,NULL,2014-01-20 00:00:00,2050-01-01 00:00:00,2014-01-20 19:48:24,NULL,N,BY,正常,265028892,0
2009373,HE级,2014-07-23 11:27:52,广州基本点播组,互动电视,GZ101369,支持单片点播权限(按片付费),正常状态,NULL,NULL,NULL,2014-01-20 00:00:00,2050-01-01 00:00:00,2014-01-20 19:48:24,NULL,Y,BY,正常,265028892,1
2009373,HE级,2017-01-01 02:14:52,所有基本节目_回看,互动电视,GZ122619,快乐点-1年-送2月-包年到期外呼专享,到期暂停状态,NULL,NULL,NULL,2015-11-01 00:00:00,2016-12-31 23:59:59,2015-11-01 12:29:16,NULL,N,YD,正常,2095792403,1
2009373,HC级,2015-09-01 01:04:41,甜果TV(精彩点_点播),互动电视,00133379,快乐点-包月-25元,到期暂停状态,00,R2508,快乐点(25元/月),2014-09-04 00:00:00,2015-08-31 23:59:59,2014-09-04 09:48:36,25,Y,YD,正常,2031318812,1
2009373,HE级,2015-04-22 09:36:14,基本组_点播,互动电视,00117902,[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),到期暂停状态,NULL,NULL,NULL,2014-01-20 00:00:00,2015-03-31 00:00:00,2014-01-20 19:48:24,NULL,N,YD,正常,265028892,0
2009373,HE级,2015-11-01 12:29:16,所有基本节目_回看,互动电视,GZ122619,快乐点-1年-送2月,正常状态,NULL,NULL,NULL,2015-11-01 00:00:00,2016-12-31 23:59:59,2015-11-01 12:29:16,NULL,N,YY,正常,2095792403,1
2009373,HE级,2014-07-23 11:27:52,标高清直播基本包_广州,互动电视,00117902,[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),正常状态,NULL,NULL,NULL,2014-01-20 00:00:00,2050-01-01 00:00:00,2014-01-20 19:48:24,NULL,N,BY,正常,265028892,0
2009373,HE级,2017-01-01 02:14:52,所有基本节目_时移,互动电视,GZ122619,快乐点-1年-送2月-包年到期外呼专享,到期暂停状态,NULL,NULL,NULL,2015-11-01 00:00:00,2016-12-31 23:59:59,2015-11-01 12:29:16,NULL,N,YD,正常,2095792403,1
2009373,HC级,2015-07-01 02:40:37,互动空指令产品,互动电视,GZ121937,全时移回看存200送100元,到期暂停状态,00,120211,全时移预存200送100,2014-09-04 00:00:00,2014-09-30 23:59:59,2014-09-04 09:47:26,200,Y,YD,正常,2031318696,1
2009373,HC级,2014-07-23 13:03:39,互动虚拟包,互动电视,00133808,全时移回看(包3个月)(0元/月),到期暂停状态,00,R1820,全时移回看(包3个月)(0元/月),2014-01-20 00:00:00,2014-04-30 23:59:59,2014-01-20 19:48:24,0.0,Y,YD,正常,265028892,1
2009373,HE级,2014-07-23 13:03:39,所有基本节目_回看,互动电视,00133808,全时移回看(包3个月)(0元/月),到期暂停状态,NULL,NULL,NULL,2014-01-20 00:00:00,2014-04-30 23:59:59,2014-01-20 19:48:24,NULL,N,YD,正常,265028892,1
2009373,HE级,2014-07-23 11:27:52,应用类_点播,互动电视,00117902,[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),正常状态,NULL,NULL,NULL,2014-01-20 00:00:00,2050-01-01 00:00:00,2014-01-20 19:48:24,NULL,N,BY,正常,265028892,0
2009373,HC级,2018-04-27 05:46:38,标清直播基本包_广州,互动电视,00117902,[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),正常状态,00,R1926,[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),2014-01-20 00:00:00,2050-01-01 00:00:00,2014-01-20 19:48:24,26.5,Y,BY,正常,265028892,0
2009373,HE级,2014-07-23 11:27:52,互动虚拟包,互动电视,00117902,[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),正常状态,NULL,NULL,NULL,2014-01-20 00:00:00,2030-12-31 23:59:59,2014-01-20 19:48:24,NULL,N,BY,正常,265028892,0
2009373,HE级,2014-07-23 13:03:39,所有基本节目_时移,互动电视,00133808,全时移回看(包3个月)(0元/月),到期暂停状态,NULL,NULL,NULL,2014-01-20 00:00:00,2014-04-30 23:59:59,2014-01-20 19:48:24,NULL,N,YD,正常,265028892,1
2012403,HC级,2010-01-31 21:15:10,有线电视,模拟有线电视,BO000330,有线电视－普通包 (0元/月),正常状态,00,R1672,有线电视－普通包 (0元/月),2010-02-01 00:00:00,2030-01-01 23:59:59,2010-01-31 21:15:10,0,Y,YY,正常,76438271,0
2012403,HC级,2010-02-01 01:58:18,有线电视,模拟有线电视,BO000569,有线电视－普通包(5元/月),到期暂停状态,00,R0369,有线电视－普通包(5元/月),2009-12-01 00:00:00,2010-01-31 23:59:59,2009-11-27 00:00:00,5,Y,YD,正常,1456454,0
2013084,HC级,2010-02-01 01:59:09,有线电视,模拟有线电视,BO000569,有线电视－普通包(5元/月),到期暂停状态,00,R0369,有线电视－普通包(5元/月),2009-12-01 00:00:00,2010-01-31 23:59:59,2009-11-27 00:00:00,5,Y,YD,正常,1456454,0
2013084,HC级,2010-01-31 21:15:10,有线电视,模拟有线电视,BO000330,有线电视－普通包 (0元/月),正常状态,00,R1672,有线电视－普通包 (0元/月),2010-02-01 00:00:00,2030-01-01 23:59:59,2010-01-31 21:15:10,0,Y,YY,正常,76438271,0
2013312,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013918,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019186,HC级,2018-04-01 00:26:09,标清直播基本包_广州,甜果电视,GZ122956,甜果标准包,到期暂停状态,00,121521,甜果标准包-包月-26.5元,2017-12-01 00:00:00,2018-03-31 23:59:59,2017-11-16 10:15:56,26.5,Y,YD,正常,2239526369,0
2019186,HC级,2017-11-10 17:28:07,标高清直播基本包_广州,甜果电视,GZ123142,甜果+联合宽带-49包-月享,正常状态,NULL,NULL,NULL,2017-11-10 17:28:07,2050-01-01 00:00:00,2017-11-10 17:28:07,NULL,N,YY,正常,2238149519,0
2019186,HC级,2017-11-10 17:28:07,所有基本节目_时移,甜果电视,GZ123142,甜果+联合宽带-49包-月享,正常状态,NULL,NULL,NULL,2017-11-10 17:28:07,2050-01-01 00:00:00,2017-11-10 17:28:07,NULL,N,YY,正常,2238149519,0
2019186,HC级,2017-12-01 00:30:50,生活圈应用(国安),甜果电视,GZ123142,甜果+联合宽带-49包-月享,到期暂停状态,NULL,NULL,NULL,2017-11-10 17:28:07,2017-11-30 23:59:59,2017-11-10 17:28:07,NULL,N,YD,正常,2238149519,0
2019186,HC级,2017-12-01 00:30:50,甜果基本包,甜果电视,GZ123142,甜果+联合宽带-49包-月享,到期暂停状态,NULL,NULL,NULL,2017-11-10 17:28:07,2017-11-30 23:59:59,2017-11-10 17:28:07,NULL,N,YD,正常,2238149519,0
2019186,HC级,2017-11-10 17:28:07,所有基本节目_回看,甜果电视,GZ123142,甜果+联合宽带-49包-月享,正常状态,NULL,NULL,NULL,2017-11-10 17:28:07,2050-01-01 00:00:00,2017-11-10 17:28:07,NULL,N,YY,正常,2238149519,0
2019186,HC级,2017-11-10 17:28:07,精彩点(国安),甜果电视,GZ123142,甜果+联合宽带-49包-月享,正常状态,NULL,NULL,NULL,2017-11-10 17:28:07,2050-01-01 00:00:00,2017-11-10 17:28:07,NULL,N,YY,正常,2238149519,0
2019186,HC级,2018-03-24 18:06:49,互动空指令产品,甜果电视,GZ123799,预存200元赠送200元-分20个月返还,正常状态,00,122425,预存200元赠送200元-分20个月返还-电视专用,2018-03-24 00:00:00,2019-11-30 23:59:59,2018-03-24 18:06:49,200,Y,YY,正常,2269955396,1
2019186,HC级,2017-12-01 00:30:50,广州个人用户免费专区点播,甜果电视,GZ123142,甜果+联合宽带-49包-月享,到期暂停状态,NULL,NULL,NULL,2017-11-10 17:28:07,2017-11-30 23:59:59,2017-11-10 17:28:07,NULL,N,YD,正常,2238149519,0
2019186,HC级,2017-11-10 17:28:07,广州个人用户免费专区点播,甜果电视,GZ123142,甜果+联合宽带-49包-月享,正常状态,NULL,NULL,NULL,2017-11-10 17:28:07,2050-01-01 00:00:00,2017-11-10 17:28:07,NULL,N,YY,正常,2238149519,0
2019186,HC级,2017-12-01 00:30:50,CNTV,甜果电视,GZ123142,甜果+联合宽带-49包-月享,到期暂停状态,NULL,NULL,NULL,2017-11-10 17:28:07,2017-11-30 23:59:59,2017-11-10 17:28:07,NULL,N,YD,正常,2238149519,0
2019186,HC级,2017-11-10 17:28:07,甜果基本包,甜果电视,GZ123142,甜果+联合宽带-49包-月享,正常状态,NULL,NULL,NULL,2017-11-10 17:28:07,2050-01-01 00:00:00,2017-11-10 17:28:07,NULL,N,YY,正常,2238149519,0
2019186,HC级,2017-12-01 00:30:50,所有基本节目_回看,甜果电视,GZ123142,甜果+联合宽带-49包-月享,到期暂停状态,NULL,NULL,NULL,2017-11-10 17:28:07,2017-11-30 23:59:59,2017-11-10 17:28:07,NULL,N,YD,正常,2238149519,0
2019186,HC级,2017-11-10 17:28:07,CNTV,甜果电视,GZ123142,甜果+联合宽带-49包-月享,正常状态,NULL,NULL,NULL,2017-11-10 17:28:07,2050-01-01 00:00:00,2017-11-10 17:28:07,NULL,N,YY,正常,2238149519,0
2019186,HC级,2017-11-10 17:28:07,18套付费频道,甜果电视,GZ123142,甜果+联合宽带-49包-月享,正常状态,NULL,NULL,NULL,2017-11-10 17:28:07,2050-01-01 00:00:00,2017-11-10 17:28:07,NULL,N,YY,正常,2238149519,0
2019186,HC级,2017-11-16 10:15:56,标清直播基本包_广州,甜果电视,GZ122956,甜果标准包,正常状态,00,NULL,NULL,2017-12-01 00:00:00,2050-01-01 00:00:00,2017-11-16 10:15:56,26.5,Y,YY,正常,2239526369,0
2019186,HC级,2018-03-24 18:05:34,标清直播基本包_广州,甜果电视,GZ124384,甜果+联合宽带-39元-月享,正常状态,00,122885,甜果+联合宽带-39元包-月享,2018-04-01 00:00:00,2050-01-01 00:00:00,2018-03-24 18:05:34,39,Y,YY,正常,2269955338,0
2019186,HC级,2017-11-16 10:15:56,甜果基本包,甜果电视,GZ122956,甜果标准包,正常状态,NULL,NULL,NULL,2017-12-01 00:00:00,2050-01-01 00:00:00,2017-11-16 10:15:56,NULL,N,YY,正常,2239526369,0
2019186,HC级,2017-12-01 00:30:50,互动空指令产品,甜果电视,GZ124272,月享套餐首月优惠,到期暂停状态,00,122794,月享套餐首月优惠,2017-11-10 17:28:07,2017-11-30 23:59:59,2017-11-10 17:28:07,0,Y,YD,正常,2238149519,1
2019186,HC级,2017-11-10 17:28:07,生活圈应用(国安),甜果电视,GZ123142,甜果+联合宽带-49包-月享,正常状态,NULL,NULL,NULL,2017-11-10 17:28:07,2050-01-01 00:00:00,2017-11-10 17:28:07,NULL,N,YY,正常,2238149519,0
2019186,HC级,2017-12-01 00:30:50,国安精彩点,甜果电视,GZ123142,甜果+联合宽带-49包-月享,到期暂停状态,NULL,NULL,NULL,2017-11-10 17:28:07,2017-11-30 23:59:59,2017-11-10 17:28:07,NULL,N,YD,正常,2238149519,0
2019186,HC级,2017-12-01 00:30:50,精彩点_点播,甜果电视,GZ123142,甜果+联合宽带-49包-月享,到期暂停状态,NULL,NULL,NULL,2017-11-10 17:28:07,2017-11-30 23:59:59,2017-11-10 17:28:07,NULL,N,YD,正常,2238149519,0
2019186,HC级,2017-11-10 17:28:07,互动应用组,甜果电视,GZ123142,甜果+联合宽带-49包-月享,正常状态,NULL,NULL,NULL,2017-11-10 17:28:07,2050-01-01 00:00:00,2017-11-10 17:28:07,NULL,N,YY,正常,2238149519,0
2019186,HC级,2017-12-01 00:30:50,应用_月享,甜果电视,GZ123142,甜果+联合宽带-49包-月享,到期暂停状态,NULL,NULL,NULL,2017-11-10 17:28:07,2017-11-30 23:59:59,2017-11-10 17:28:07,NULL,N,YD,正常,2238149519,0
2019186,HC级,2017-11-10 17:28:07,标清直播基本包_广州,甜果电视,GZ123142,甜果+联合宽带-49包-月享,正常状态,NULL,NULL,NULL,2017-11-10 17:28:07,2050-01-01 00:00:00,2017-11-10 17:28:07,NULL,Y,YY,正常,2238149519,0
2019186,HC级,2017-12-01 00:30:50,18套付费频道,甜果电视,GZ123142,甜果+联合宽带-49包-月享,到期暂停状态,NULL,NULL,NULL,2017-11-10 17:28:07,2017-11-30 23:59:59,2017-11-10 17:28:07,NULL,N,YD,正常,2238149519,0
2019186,HC级,2017-11-16 10:15:56,标高清直播基本包_广州,甜果电视,GZ122956,甜果标准包,正常状态,NULL,NULL,NULL,2017-12-01 00:00:00,2050-01-01 00:00:00,2017-11-16 10:15:56,NULL,N,YY,正常,2239526369,0
2019186,HC级,2017-11-10 17:28:07,应用_月享,甜果电视,GZ123142,甜果+联合宽带-49包-月享,正常状态,NULL,NULL,NULL,2017-11-10 17:28:07,2050-01-01 00:00:00,2017-11-10 17:28:07,NULL,N,YY,正常,2238149519,0
2019186,HC级,2017-11-16 10:15:56,应用类_点播,甜果电视,GZ122956,甜果标准包,正常状态,NULL,NULL,NULL,2017-12-01 00:00:00,2050-01-01 00:00:00,2017-11-16 10:15:56,NULL,N,YY,正常,2239526369,0
2019186,HC级,2017-12-01 00:30:50,标清直播基本包_广州,甜果电视,GZ123142,甜果+联合宽带-49包-月享,到期暂停状态,00,121983,甜果+联合宽带-49包-17年月享,2017-11-10 17:28:07,2017-11-30 23:59:59,2017-11-10 17:28:07,49,Y,YD,正常,2238149519,0
2019186,HC级,2017-11-10 17:28:07,精彩点_点播,甜果电视,GZ123142,甜果+联合宽带-49包-月享,正常状态,NULL,NULL,NULL,2017-11-10 17:28:07,2050-01-01 00:00:00,2017-11-10 17:28:07,NULL,N,YY,正常,2238149519,0
2019186,HC级,2017-11-10 17:28:07,广州基本点播组,互动电视,GZ101369,支持单片点播权限(按片付费),正常状态,00,120303,支持单片点播权限(按片付费),2017-11-10 17:28:07,2050-01-01 00:00:00,2017-11-10 17:28:07,0,Y,YY,正常,2238149519,1
2019186,HC级,2017-12-01 00:30:50,所有基本节目_时移,甜果电视,GZ123142,甜果+联合宽带-49包-月享,到期暂停状态,NULL,NULL,NULL,2017-11-10 17:28:07,2017-11-30 23:59:59,2017-11-10 17:28:07,NULL,N,YD,正常,2238149519,0
2019186,HC级,2017-11-10 17:28:07,互动空指令产品,甜果电视,GZ124272,月享套餐首月优惠,正常状态,NULL,NULL,NULL,2017-11-10 17:28:07,2017-11-30 23:59:59,2017-11-10 17:28:07,NULL,Y,YY,正常,2238149519,1
2019186,HC级,2017-12-01 00:30:50,互动应用组,甜果电视,GZ123142,甜果+联合宽带-49包-月享,到期暂停状态,NULL,NULL,NULL,2017-11-10 17:28:07,2017-11-30 23:59:59,2017-11-10 17:28:07,NULL,N,YD,正常,2238149519,0
2019186,HC级,2018-05-01 00:24:39,CNTV,甜果电视,GZ123708,甜果39元过渡包,到期暂停状态,00,122339,甜果39元过渡包-0元-1个月,2018-03-24 00:00:00,2018-04-30 23:59:59,2018-03-24 18:06:49,0,Y,YD,正常,2269955396,1
2019186,HC级,2017-11-16 10:15:56,个人用户免费专区_点播,甜果电视,GZ122956,甜果标准包,正常状态,NULL,NULL,NULL,2017-12-01 00:00:00,2050-01-01 00:00:00,2017-11-16 10:15:56,NULL,N,YY,正常,2239526369,0
2019186,HC级,2017-12-01 00:30:50,标高清直播基本包_广州,甜果电视,GZ123142,甜果+联合宽带-49包-月享,到期暂停状态,NULL,NULL,NULL,2017-11-10 17:28:07,2017-11-30 23:59:59,2017-11-10 17:28:07,NULL,N,YD,正常,2238149519,0
2024970,HC级,2010-02-01 02:15:38,有线电视,模拟有线电视,BO000569,有线电视－普通包(5元/月),到期暂停状态,00,R0369,有线电视－普通包(5元/月),2009-12-01 00:00:00,2010-01-31 23:59:59,2009-11-27 00:00:00,5,Y,YD,正常,1456454,0
2024970,HC级,2010-01-31 21:15:10,有线电视,模拟有线电视,BO000330,有线电视－普通包 (0元/月),正常状态,00,R1672,有线电视－普通包 (0元/月),2010-02-01 00:00:00,2030-01-01 23:59:59,2010-01-31 21:15:10,0,Y,YY,正常,76438271,0
