phone_no	owner_name	optdate	prodname	sm_name	offerid	offername	business_name	owner_code	prodprcid	prodprcname	effdate	expdate	orderdate	cost	mode_time	prodstatus	run_name	orderno	offertype
2009373	HE级	2015/9/1 1:04	所有基本节目_回看	互动电视	133379	快乐点	到期暂停状态	NULL	NULL	NULL	2014/9/4 0:00	2015/8/31 23:59	2014/9/4 9:48	NULL	N	YD	正常	2031318812	1
2009373	HE级	2015/11/1 12:29	精彩点_点播	互动电视	GZ122619	快乐点-1年-送2月	正常状态	NULL	NULL	快乐点-1年-300元-送2月	2015/11/1 0:00	2016/12/31 23:59	2015/11/1 12:29	NULL	Y	YY	正常	2095792403	1
2009373	HE级	2015/11/1 12:29	所有基本节目_时移	互动电视	GZ122619	快乐点-1年-送2月	正常状态	NULL	NULL	NULL	2015/11/1 0:00	2016/12/31 23:59	2015/11/1 12:29	NULL	N	YY	正常	2095792403	1
2009373	HC级	2018/4/27 5:46	广州基本点播组	互动电视	GZ101369	支持单片点播权限(按片付费)	正常状态	0	R3259	0资费	2014/1/20 0:00	2050/1/1 0:00	2014/1/20 19:48	0	Y	BY	正常	265028892	1
2009373	HC级	2017/1/1 2:14	甜果TV(精彩点_点播)	互动电视	GZ122619	快乐点-1年-送2月-包年到期外呼专享	到期暂停状态	0	121092	快乐点-1年-300元-送2月	2015/11/1 0:00	2016/12/31 23:59	2015/11/1 12:29	300	Y	YD	正常	2095792403	1
2009373	HE级	2014/7/23 11:27	标清直播基本包_广州	互动电视	117902	[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)	正常状态	NULL	NULL	NULL	2014/1/20 0:00	2050/1/1 0:00	2014/1/20 19:48	NULL	Y	BY	正常	265028892	0
2009373	HE级	2015/9/1 1:04	所有基本节目_时移	互动电视	133379	快乐点	到期暂停状态	NULL	NULL	NULL	2014/9/4 0:00	2015/8/31 23:59	2014/9/4 9:48	NULL	N	YD	正常	2031318812	1
2009373	HE级	2014/7/23 11:27	个人用户免费专区_点播	互动电视	117902	[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)	正常状态	NULL	NULL	NULL	2014/1/20 0:00	2050/1/1 0:00	2014/1/20 19:48	NULL	N	BY	正常	265028892	0
2009373	HE级	2014/7/23 11:27	广州基本点播组	互动电视	GZ101369	支持单片点播权限(按片付费)	正常状态	NULL	NULL	NULL	2014/1/20 0:00	2050/1/1 0:00	2014/1/20 19:48	NULL	Y	BY	正常	265028892	1
2009373	HE级	2017/1/1 2:14	所有基本节目_回看	互动电视	GZ122619	快乐点-1年-送2月-包年到期外呼专享	到期暂停状态	NULL	NULL	NULL	2015/11/1 0:00	2016/12/31 23:59	2015/11/1 12:29	NULL	N	YD	正常	2095792403	1
2009373	HC级	2015/9/1 1:04	甜果TV(精彩点_点播)	互动电视	133379	快乐点-包月-25元	到期暂停状态	0	R2508	快乐点(25元/月)	2014/9/4 0:00	2015/8/31 23:59	2014/9/4 9:48	25	Y	YD	正常	2031318812	1
2009373	HE级	2015/4/22 9:36	基本组_点播	互动电视	117902	[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)	到期暂停状态	NULL	NULL	NULL	2014/1/20 0:00	2015/3/31 0:00	2014/1/20 19:48	NULL	N	YD	正常	265028892	0
2009373	HE级	2015/11/1 12:29	所有基本节目_回看	互动电视	GZ122619	快乐点-1年-送2月	正常状态	NULL	NULL	NULL	2015/11/1 0:00	2016/12/31 23:59	2015/11/1 12:29	NULL	N	YY	正常	2095792403	1
2009373	HE级	2014/7/23 11:27	标高清直播基本包_广州	互动电视	117902	[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)	正常状态	NULL	NULL	NULL	2014/1/20 0:00	2050/1/1 0:00	2014/1/20 19:48	NULL	N	BY	正常	265028892	0
2009373	HE级	2017/1/1 2:14	所有基本节目_时移	互动电视	GZ122619	快乐点-1年-送2月-包年到期外呼专享	到期暂停状态	NULL	NULL	NULL	2015/11/1 0:00	2016/12/31 23:59	2015/11/1 12:29	NULL	N	YD	正常	2095792403	1
2009373	HC级	2015/7/1 2:40	互动空指令产品	互动电视	GZ121937	全时移回看存200送100元	到期暂停状态	0	120211	全时移预存200送100	2014/9/4 0:00	2014/9/30 23:59	2014/9/4 9:47	200	Y	YD	正常	2031318696	1
2009373	HC级	2014/7/23 13:03	互动虚拟包	互动电视	133808	全时移回看(包3个月)(0元/月)	到期暂停状态	0	R1820	全时移回看(包3个月)(0元/月)	2014/1/20 0:00	2014/4/30 23:59	2014/1/20 19:48	0	Y	YD	正常	265028892	1
2009373	HE级	2014/7/23 13:03	所有基本节目_回看	互动电视	133808	全时移回看(包3个月)(0元/月)	到期暂停状态	NULL	NULL	NULL	2014/1/20 0:00	2014/4/30 23:59	2014/1/20 19:48	NULL	N	YD	正常	265028892	1
2009373	HE级	2014/7/23 11:27	应用类_点播	互动电视	117902	[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)	正常状态	NULL	NULL	NULL	2014/1/20 0:00	2050/1/1 0:00	2014/1/20 19:48	NULL	N	BY	正常	265028892	0
2009373	HC级	2018/4/27 5:46	标清直播基本包_广州	互动电视	117902	[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)	正常状态	0	R1926	[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)	2014/1/20 0:00	2050/1/1 0:00	2014/1/20 19:48	26.5	Y	BY	正常	265028892	0
2009373	HE级	2014/7/23 11:27	互动虚拟包	互动电视	117902	[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)	正常状态	NULL	NULL	NULL	2014/1/20 0:00	2030/12/31 23:59	2014/1/20 19:48	NULL	N	BY	正常	265028892	0
2009373	HE级	2014/7/23 13:03	所有基本节目_时移	互动电视	133808	全时移回看(包3个月)(0元/月)	到期暂停状态	NULL	NULL	NULL	2014/1/20 0:00	2014/4/30 23:59	2014/1/20 19:48	NULL	N	YD	正常	265028892	1
2012403	HC级	2010/1/31 21:15	有线电视	模拟有线电视	BO000330	有线电视－普通包 (0元/月)	正常状态	0	R1672	有线电视－普通包 (0元/月)	2010/2/1 0:00	2030/1/1 23:59	2010/1/31 21:15	0	Y	YY	正常	76438271	0
2012403	HC级	2010/2/1 1:58	有线电视	模拟有线电视	BO000569	有线电视－普通包(5元/月)	到期暂停状态	0	R0369	有线电视－普通包(5元/月)	2009/12/1 0:00	2010/1/31 23:59	2009/11/27 0:00	5	Y	YD	正常	1456454	0
2013084	HC级	2010/2/1 1:59	有线电视	模拟有线电视	BO000569	有线电视－普通包(5元/月)	到期暂停状态	0	R0369	有线电视－普通包(5元/月)	2009/12/1 0:00	2010/1/31 23:59	2009/11/27 0:00	5	Y	YD	正常	1456454	0
2013084	HC级	2010/1/31 21:15	有线电视	模拟有线电视	BO000330	有线电视－普通包 (0元/月)	正常状态	0	R1672	有线电视－普通包 (0元/月)	2010/2/1 0:00	2030/1/1 23:59	2010/1/31 21:15	0	Y	YY	正常	76438271	0
2013312	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2013918	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019186	HC级	2018/4/1 0:26	标清直播基本包_广州	甜果电视	GZ122956	甜果标准包	到期暂停状态	0	121521	甜果标准包-包月-26.5元	2017/12/1 0:00	2018/3/31 23:59	2017/11/16 10:15	26.5	Y	YD	正常	2239526369	0
2019186	HC级	2017/11/10 17:28	标高清直播基本包_广州	甜果电视	GZ123142	甜果+联合宽带-49包-月享	正常状态	NULL	NULL	NULL	2017/11/10 17:28	2050/1/1 0:00	2017/11/10 17:28	NULL	N	YY	正常	2238149519	0
2019186	HC级	2017/11/10 17:28	所有基本节目_时移	甜果电视	GZ123142	甜果+联合宽带-49包-月享	正常状态	NULL	NULL	NULL	2017/11/10 17:28	2050/1/1 0:00	2017/11/10 17:28	NULL	N	YY	正常	2238149519	0
2019186	HC级	2017/12/1 0:30	生活圈应用(国安)	甜果电视	GZ123142	甜果+联合宽带-49包-月享	到期暂停状态	NULL	NULL	NULL	2017/11/10 17:28	2017/11/30 23:59	2017/11/10 17:28	NULL	N	YD	正常	2238149519	0
2019186	HC级	2017/12/1 0:30	甜果基本包	甜果电视	GZ123142	甜果+联合宽带-49包-月享	到期暂停状态	NULL	NULL	NULL	2017/11/10 17:28	2017/11/30 23:59	2017/11/10 17:28	NULL	N	YD	正常	2238149519	0
2019186	HC级	2017/11/10 17:28	所有基本节目_回看	甜果电视	GZ123142	甜果+联合宽带-49包-月享	正常状态	NULL	NULL	NULL	2017/11/10 17:28	2050/1/1 0:00	2017/11/10 17:28	NULL	N	YY	正常	2238149519	0
2019186	HC级	2017/11/10 17:28	精彩点(国安)	甜果电视	GZ123142	甜果+联合宽带-49包-月享	正常状态	NULL	NULL	NULL	2017/11/10 17:28	2050/1/1 0:00	2017/11/10 17:28	NULL	N	YY	正常	2238149519	0
2019186	HC级	2018/3/24 18:06	互动空指令产品	甜果电视	GZ123799	预存200元赠送200元-分20个月返还	正常状态	0	122425	预存200元赠送200元-分20个月返还-电视专用	2018/3/24 0:00	2019/11/30 23:59	2018/3/24 18:06	200	Y	YY	正常	2269955396	1
2019186	HC级	2017/12/1 0:30	广州个人用户免费专区点播	甜果电视	GZ123142	甜果+联合宽带-49包-月享	到期暂停状态	NULL	NULL	NULL	2017/11/10 17:28	2017/11/30 23:59	2017/11/10 17:28	NULL	N	YD	正常	2238149519	0
2019186	HC级	2017/11/10 17:28	广州个人用户免费专区点播	甜果电视	GZ123142	甜果+联合宽带-49包-月享	正常状态	NULL	NULL	NULL	2017/11/10 17:28	2050/1/1 0:00	2017/11/10 17:28	NULL	N	YY	正常	2238149519	0
2019186	HC级	2017/12/1 0:30	CNTV	甜果电视	GZ123142	甜果+联合宽带-49包-月享	到期暂停状态	NULL	NULL	NULL	2017/11/10 17:28	2017/11/30 23:59	2017/11/10 17:28	NULL	N	YD	正常	2238149519	0
2019186	HC级	2017/11/10 17:28	甜果基本包	甜果电视	GZ123142	甜果+联合宽带-49包-月享	正常状态	NULL	NULL	NULL	2017/11/10 17:28	2050/1/1 0:00	2017/11/10 17:28	NULL	N	YY	正常	2238149519	0
2019186	HC级	2017/12/1 0:30	所有基本节目_回看	甜果电视	GZ123142	甜果+联合宽带-49包-月享	到期暂停状态	NULL	NULL	NULL	2017/11/10 17:28	2017/11/30 23:59	2017/11/10 17:28	NULL	N	YD	正常	2238149519	0
2019186	HC级	2017/11/10 17:28	CNTV	甜果电视	GZ123142	甜果+联合宽带-49包-月享	正常状态	NULL	NULL	NULL	2017/11/10 17:28	2050/1/1 0:00	2017/11/10 17:28	NULL	N	YY	正常	2238149519	0
2019186	HC级	2017/11/10 17:28	18套付费频道	甜果电视	GZ123142	甜果+联合宽带-49包-月享	正常状态	NULL	NULL	NULL	2017/11/10 17:28	2050/1/1 0:00	2017/11/10 17:28	NULL	N	YY	正常	2238149519	0
2019186	HC级	2017/11/16 10:15	标清直播基本包_广州	甜果电视	GZ122956	甜果标准包	正常状态	0	NULL	NULL	2017/12/1 0:00	2050/1/1 0:00	2017/11/16 10:15	26.5	Y	YY	正常	2239526369	0
2019186	HC级	2018/3/24 18:05	标清直播基本包_广州	甜果电视	GZ124384	甜果+联合宽带-39元-月享	正常状态	0	122885	甜果+联合宽带-39元包-月享	2018/4/1 0:00	2050/1/1 0:00	2018/3/24 18:05	39	Y	YY	正常	2269955338	0
2019186	HC级	2017/11/16 10:15	甜果基本包	甜果电视	GZ122956	甜果标准包	正常状态	NULL	NULL	NULL	2017/12/1 0:00	2050/1/1 0:00	2017/11/16 10:15	NULL	N	YY	正常	2239526369	0
2019186	HC级	2017/12/1 0:30	互动空指令产品	甜果电视	GZ124272	月享套餐首月优惠	到期暂停状态	0	122794	月享套餐首月优惠	2017/11/10 17:28	2017/11/30 23:59	2017/11/10 17:28	0	Y	YD	正常	2238149519	1
2019186	HC级	2017/11/10 17:28	生活圈应用(国安)	甜果电视	GZ123142	甜果+联合宽带-49包-月享	正常状态	NULL	NULL	NULL	2017/11/10 17:28	2050/1/1 0:00	2017/11/10 17:28	NULL	N	YY	正常	2238149519	0
2019186	HC级	2017/12/1 0:30	国安精彩点	甜果电视	GZ123142	甜果+联合宽带-49包-月享	到期暂停状态	NULL	NULL	NULL	2017/11/10 17:28	2017/11/30 23:59	2017/11/10 17:28	NULL	N	YD	正常	2238149519	0
2019186	HC级	2017/12/1 0:30	精彩点_点播	甜果电视	GZ123142	甜果+联合宽带-49包-月享	到期暂停状态	NULL	NULL	NULL	2017/11/10 17:28	2017/11/30 23:59	2017/11/10 17:28	NULL	N	YD	正常	2238149519	0
